f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,label
-0.68420815,-0.7765954,-0.6253859,-0.17039143,-0.6233523,-0.24286292,0.31563962,-0.7591475,0.41973928,-0.047435813,-0.10765449,-0.069457136,-0.2879675,0,-0.4852189,-0.16655101,0.14679895,-0.30615923,0.2879677,0,-0.20645057,-0.02399457,-0.2594808,-0.16764559,0
-1.4922646,-2.0190737,-1.157147,-1.1566207,-0.34814855,-1.8444163,-0.50057554,-2.1477315,0.37361744,-1.472701,0.17848293,-1.9578068,-0.39757,0.1057679,0.38627228,0.56319606,0.41255206,2.686856,0.39757,-0.1057675,1.8284562,0.23869598,2.1640923,2.3815124,0
-0.33714515,-1.4600571,-0.86712354,-1.2191254,-1.0818282,-0.88439256,0.6414652,-1.2543343,0.8797482,-0.8248421,0.36765912,-1.0204653,-0.30286145,-0.06187123,-0.030151416,0.8847542,-0.09913396,2.0235677,0.30286112,0.06187154,0.33959985,1.0654376,-0.02746576,2.1411147,0
-0.56161135,-2.2437727,-0.9141233,-1.0726569,-0.8884371,-0.033726934,0.4378988,-2.2124758,0.7613192,-1.1110169,1.0728418,-0.7560194,-0.3932678,0.016500808,-0.8221814,1.723534,-1.1306167,3.3637445,0.3932678,-0.016500406,0.7357194,1.6188045,1.3064495,3.2283268,0
-0.6501941,-0.99417466,-0.6509465,-0.20345497,-0.23937269,-0.67472327,0.32866547,-1.198708,0.53331184,-0.4816459,-0.21876056,-0.49829066,-0.350514,0.04322214,-0.58991516,0.7096148,-0.6966419,0.9603529,0.3505139,-0.04322214,0.5395826,0.56292146,0.4027368,0.9107804,0
-1.2989674,-3.4466512,1.0002041,-1.3583388,3.3030503,-1.1926274,-0.36907336,-3.8144786,0.41500223,-2.1135023,1.2391682,-1.6713568,-0.3526903,0.2282491,2.0496488,-2.5493934,3.2886207,1.048293,0.3526901,-0.2282491,2.4740977,-3.234607,2.690777,0.0927551,0
-0.5395288,-1.6372964,-0.8465593,-0.5481823,-0.33950445,-0.39091843,0.4597518,-1.6752212,0.67902863,-0.6836779,0.7927298,-0.26758942,-0.32283342,0.026801495,-0.17761445,1.3516829,-0.14655076,2.7309258,0.32283342,-0.026801495,0.4293796,1.2531033,0.31589988,2.6295447,0
-0.39538714,-1.2722956,-0.6271929,-0.59334034,-0.8503972,0.018937698,0.6005523,-1.3623213,0.9389253,-0.8065926,0.32857466,-0.6059839,-0.3482962,-0.00613305,-0.76915663,0.7247546,-0.7999296,1.6113384,0.3482962,0.006132743,0.30082038,0.6979538,0.36728245,1.497907,0
0.40959722,-2.2454157,0.15220247,-1.0947909,-0.914223,-0.64913297,-0.58891463,-2.1908815,-1.0688951,-1.0807422,-1.6563647,-0.5292778,0.3650035,-0.014741486,0.48722517,1.3608809,0.67469,1.3608809,-0.3650035,0.014741877,-0.8079229,1.3608809,-0.9160967,1.3608809,1
-0.07393852,-3.5429323,-1.4593636,-2.2772424,-1.1315008,-1.819335,0.904836,-3.3379922,0.5069691,-1.594238,0.7995938,-0.96153855,-0.18279505,-0.022452146,1.0793711,2.9669726,1.00927,6.0321913,0.18279505,0.022452954,-0.17811713,3.0047,-1.4162632,5.997141,1
-1.5948203,-6.981238,-3.7173417,-4.829808,-7.3131366,-2.3978243,-0.60313445,-6.852555,-2.8464763,-4.176042,-6.974489,-2.3984761,-0.39135957,-0.14781463,-3.3637748,4.49967,-3.6305788,8.583104,0.39135262,0.14781636,-3.6026216,4.7766314,-3.7718105,9.13406,1
-0.33488312,-1.6812154,-0.58534163,-0.87325096,-0.2776227,-0.19562212,0.66346633,-1.6237854,0.7038132,-0.7302065,0.31982222,-0.10957464,-0.3314337,-0.016462943,-0.4542616,1.2089016,-0.41446722,2.21465,0.3314337,0.016462943,0.19423856,1.2476859,0.06897805,2.2651412,1
-0.64724934,-1.6550279,-1.051676,-1.4623858,-1.2058054,-2.032618,0.35050833,-1.7219582,1.0046418,-1.4305854,1.6983045,-1.4466116,-0.32372406,0.030462211,-0.40197864,1.2650436,-0.43594733,2.2567992,0.32372406,-0.030462,0.46075428,1.2073383,0.59345937,2.2925138,1
-0.8267853,-3.404187,1.1617295,-3.1685238,3.368961,-3.2552185,0.165733,-3.2820914,1.7776388,-2.9980662,3.5082397,-3.210671,-0.43994036,0.010943675,-0.75159436,2.4976444,-1.1241621,3.2304275,0.4399397,-0.010943675,0.8765903,2.4957867,1.3251046,3.2304275,1
-12.051046,-21.112146,-15.975444,-12.525486,-25.6817,-11.694427,-11.543968,-20.250246,-18.053951,-7.950364,-27.490646,-7.963494,0.5227329,0.04719819,-2.4171135,13.253609,12.347042,22.308811,-0.5227329,-0.04719819,-15.310854,11.717488,-8.409937,20.338684,1
0.4184918,-1.8926574,1.2377144,-1.9893723,1.6743602,-2.5302272,-0.56535417,-1.7136401,-0.90444124,-0.9206452,-0.8625603,-0.26645562,0.33851704,-0.027598247,0.63514477,0.9388075,0.9507269,1.7944555,-0.33851704,0.027598247,-0.412913,1.2114564,-0.40430576,2.3526049,1
-0.68833005,-1.7575386,-1.3113135,-1.1901791,-1.446243,-0.43876228,0.3025342,-1.6226758,0.6262994,-0.8268487,0.85570556,-0.15675701,-0.31923738,-0.001045065,-0.3736686,1.2062403,-0.48672852,1.5577579,0.31923702,0.001045415,0.47531646,1.2017552,0.657273,1.5577579,1
0.33708096,-1.7797252,0.7647204,-1.0024151,0.93099886,-1.4911809,-0.66148597,-1.833242,-0.8416535,-0.8847641,-0.32263017,-0.6542912,0.34303147,0.007807486,0.40270284,1.2549279,0.52650434,2.566711,-0.34303147,-0.007807486,-0.24760607,1.3756225,-0.36161557,2.7341874,1
1.3925834,-4.0087824,-0.23564751,-3.8815842,-1.6240652,-3.9580588,2.3896692,-3.9324949,0.7000854,-3.7877114,-1.6834464,-4.0904384,-0.3534087,-0.07229241,-0.53759265,3.209856,-0.67400587,6.29358,0.3534052,0.07229241,-0.35797086,3.2713785,-0.94888395,6.1640153,1
0.28141153,-1.662696,0.70794255,-1.1984528,0.31720096,-1.3155782,-0.6976806,-1.4592787,-0.7813277,-0.5742524,-0.6854165,-0.09394611,0.2980662,-0.039504144,0.1642387,1.138218,0.3727284,2.3052347,-0.29806578,0.039504144,-0.095679335,1.2353274,0.14031425,2.327486,1
-0.8359486,-6.6869426,-2.7092674,-2.8636262,-6.1695986,-2.4857888,-0.10078459,-7.364832,-1.3880093,-2.9970765,-5.710748,-1.9950883,-0.3575709,-0.027502013,-4.014755,-1.066557,-4.238341,0.0448293,0.3575709,0.027502013,-2.9324684,-1.3724619,-2.8382943,-0.07848029,1
0.75475615,-3.1068125,1.8309641,-1.9757121,2.5539691,-1.6504742,-0.24410826,-3.1544545,0.7430198,-2.1190395,1.9205803,-1.843926,0.31223395,0.01756297,0.6429406,2.6374714,0.5995435,5.09,-0.31223395,-0.01756297,0.3091841,2.633596,0.57941437,5.0814395,1
-0.27033445,-1.9200224,0.020508206,-1.3966303,1.1111735,-1.1766561,0.71948487,-1.7776929,1.2233407,-1.251069,1.575796,-1.12023,-0.325431,-0.01483074,-0.013229495,1.4647844,-0.33451137,2.8054636,0.32543188,0.014831184,0.43718928,1.3879014,-0.20264396,2.5699866,1
-0.36319676,-2.5382783,0.4990801,-3.1040654,0.5408301,-3.7390504,-1.3047818,-2.201503,-1.342907,-1.7030923,-1.3596563,-1.9176075,0.28101492,0.016249148,1.6418788,1.4877158,1.5221337,2.5911264,-0.2810145,-0.016248718,1.1548854,1.4801694,1.4321319,2.6351366,1
0.1671842,-2.0520105,0.006740203,-1.8459376,-0.66674715,-2.3423324,-0.8214788,-1.9018592,-1.2321215,-1.6130071,-1.3341268,-2.1775239,0.32505992,-0.05020177,-0.11191937,1.079173,0.16004123,2.3370628,-0.325059,0.050200842,-0.5980754,1.321878,-0.21239361,2.658652,1
-0.28743428,-1.849347,-1.2125264,-1.0426329,-1.3522198,0.013114778,0.7123846,-1.8303149,1.044245,-1.0964537,1.2861031,-0.6851566,-0.31067505,0.042015005,0.42183092,1.4610119,-0.08299076,3.0036829,0.31067505,-0.042013932,0.9859281,1.131712,0.41891253,2.3460977,1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
